Index,Project Title,Status,Executing Entity,Duration,"Locations:
To navigate, press the arrow keys.",Approval Date,Start Date,Country/Region,Implementing Entity,Project ID,Transferred Amount,Grant Amount,Sector,Project Description,Completion Date,Locations:
38,Implementing Measures for Climate Change Adaptation and Disaster Risk Reduction Mitigation of School Facilities in Haiti,Project Under Implementation,"United Nations Office for Project Services (UNOPS),Ministry of Environment (MdE),Ministry of National Education and Vocational Training (MENFP),Direction of Civil Protection (DPC),University National of Haiti (NUH),UNESCO Chair in Intersectoral Safety for DRR and Resilience of the University of Udine, Italy (UD)",3 years,,02/23/2022,12/21/2022,Haiti/Latin America & Caribbean,"United Nations Educational, Scientific and Cultural Organization",,"USD 1,514,200","USD 9,916,344",Disaster Risk Reduction," Disasters have a major impact on children, youth and education systems. In January 2010, approximately 38,000 students and 1,300 teachers and education personnel died in Haiti. The Ministry of Education offices were destroyed along with 4,000 schools – close to 80 % of educational establishments in the Port-au-Prince area. In 2016, hurricane Matthew struck Haiti and caused significant physical damage to Haiti’s education sector. On average, one school out of four was damaged. Many of these schools are still used as temporary shelter, or as evacuation shelters. The aim of this project is to enhance the adaptive capacity and resilience of the Haitian education sector to disaster risk of natural hazards related to climate change, through the establishment of appropriate risk assessment tool, schools retrofitting and implementing adaptation actions in Haiti. The project promotes and adopt innovative, structural and non-structural resilient resolutions. More specifically, this project is intended to strengthen the resilience to hurricane and flood of the Haitian education sector by: The project expects to benefit about 1.5 million people living in the communes through the school project assessment and about 150,000 students.    ",,
39,Ecosystem-Based Adaptation at Communities of the Central Forest Corridor in Tegucigalpa,Project Under Implementation,"Ministry of Energy, Natual Resources, Environment",5 years,,03/17/2017,03/04/2019,Honduras/Latin America & Caribbean,UN Development Programme,HND/MIE/Multi/2016/1,"USD 3,649,300","USD 4,379,700",,"Objectives: The goal of the project is to increase resilience to climate change and water-related risks in the most vulnerable population in Honduras through pilot activities and an overarching intervention to mainstream climate change considerations into water sector policies. The project aims, for example, to integrate climate change risks and opportunities into the country’s new water law and the new National Plan Law. Other goals include the strengthening of a national meteorological network; improving information on the scientific, technical, and socioeconomic aspects on impacts of climate change, vulnerability and adaptation; and increasing the availability of climate risk assessment tools and information to relevant institutions. In order to safeguard the water supplies of Tegucigalpa City and surrounding areas, the project will work to strengthen sustainable land use practices piloted in the highland watersheds and green belt around Tegucigalpa and instituting financial mechanisms that assist in managing water supply and demand. Training decision makers and resource users to better understand the projected impacts of climate change and providing them with the knowledge to identify effective options for reducing climatic risks and vulnerability is also an important facet of the project.     ",,
40,Addressing Climate Change Risks on Water Resources in Honduras: Increased Systemic Resilience and Reduced Vulnerability of the Urban Poor,Project Completed,Secretariat for Natural Resources and Environment,5 years,,09/17/2010,06/27/2011,Honduras/Latin America & Caribbean,UN Development Programme,HON/MIE/Water/2010/4,"USD 5,620,300","USD 5,620,300",Water management,"As climate change brings more extreme weather, residents in and around Honduras’ capital city have begun to struggle with adapting to the changing conditions. With financing from the Adaptation Fund, and working with Honduras’ Secretaría de Recursos Naturales (SERNA), the UNDP has been building climate resilience in these and twelve other urban communities in Tegucigapla and the upper Choluteca watershed. In Campo Cielo, rooftop rainwater harvesting systems have been installed on thirty-eight homes. These direct water running off the roofs during rainfall events to a 63,000 liter storage tank at the General School San Martin, where it is used for the bathrooms, cleaning and in the school garden. In Cantarero Lopez, Adaptation Fund financing supported infrastructure improvements along the main road, including climate-proofing the road and sidewalks, and installing ditches to direct the rainfall out of the road. The overall objective of the project is to increase resilience to climate change and water-related risks for the most vulnerable population in Honduras through pilot activities and an overarching intervention to mainstream climate change considerations into water sector policies. The specific project objectives are:     ",12/30/2016,
41,"Building Adaptive Capacities of Communities, Livelihoods and Ecological Security in the Kanha-Pench Corridor of Madhya Pradesh",Project Under Implementation,RBS Foundation India; Madhya Pradesh Forest Dept.,5 years,,10/07/2016,04/01/2017,India/Asia-Pacific,National Bank for Agriculture and Rural Development,IND/NIE/Forests/2015/1,"USD 2,556,093","USD 2,556,093",Forests,"The Kanha-Pench Corridor (KPC) spreads across three administrative districts (Balaghat, Mandla and Seoni) of the Central Indian state of Madhya Pradesh. In the last two decades, the Kanha-Pench Corridor has faced severe degradation caused by an increase in anthropogenic pressure and climate change. Studies of the corridor area reveal that while the forests within the corridor has excellent patches with continuous regeneration, patches which are completely or partially degraded are increasing constantly due to their diversion for developmental purposes or by over extraction of its resources (fuel wood, timber, fodder etc). This situation in the landscape is further exacerbated by climate change. The rainfall and temperature patterns in the region have undergone a change in the past few decades which have impacted both forests and other ecosystem based livelihoods like agriculture and livestock. The KPC forms one of the most crucial tiger conservation units of the world, as it is still a contiguous forest patch of 16,000 km2 and connects the Kanha and Pench Tiger reserves. The KPC also supports rich biodiversity and provides important ecosystem services like regulating hydrology and carbon sequestration. Besides its ecological functions, the KPC supports a substantial human population that is extremely vulnerable socio-economically. The project will be implemented in 56 villages that lie in and around the KPC which is one of the 4 forested wildlife movement corridors in the Satpuda Maikal Landscape. Learn more  ",,
42,"Building Adaptive Capacities of Small Inland Fishermen Community for Climate Resilience and Livelihood Security, Madhya Pradesh, India",Project Under Implementation,Towards Action and Learning (TAAL),3 years,,04/10/2015,11/18/2018,India/Asia-Pacific,National Bank for Agriculture and Rural Development,IND/NIE/Food/2013/1,"USD 895,240","USD 1,790,500",Food Security,"Madhya Pradesh is situated in the central region of India, and is the second largest state in the nation. The state is mainly plateau land with the exception of valleys of the Narmada and Tapti rivers and interspersed with mountains of the Vindhyas and Satpura ranges. The state gives birth to the Narmada, Tapti and Mahi rivers and contains sub catchments of the Ganga, and Yamuna rivers. The total river length of 17,088 km and 3.98mha of water spread area in reservoirs represent the available resources of fisheries in the state. Of the available reservoir area, 98% has been brought under fisheries, including 0.64mha of rural ponds. Fisheries are a major source of employment for the rural population. Objectives: The broad objective of the project is to make the fishery sector (captive inland fishery) adaptive to climate variability and enhance the adaptive capacity of the fish farmers to ensure their livelihood security in Madhya Pradesh, India. The project has following specific outcomes:  ",,
43,Climate smart actions and strategies in north western Himalayan region for sustainable livelihoods of agriculture-dependent hill communities,Project Under Implementation,BAIF Development Research Foundation,4 years,,10/09/2015,08/22/2016,India/Asia-Pacific,National Bank for Agriculture and Rural Development,,"USD 969,570","USD 969,570",Agriculture,"Rising temperatures, changed precipitation conditions, and extreme weather events have increased the vulnerability of the communities in the Indian Himalayan Region and further accelerated the process of marginalization of the hill communities in the Champawat district, in Uttarakhand state. Climate change has also accelerated the process of degradation of the natural resource base. The effects of climate change are more severe on women and poor marginalized groups including small and marginal farmers residing in the hill areas. Objectives: The project aims to improve the adaptive capacity of rural small and marginal farmers including hill women in North Western Himalayan region by introducing a combination of Climate Smart Farming Technologies along with required social engineering and capacity building processes. These packages of activities is expected to improve /sustain the livelihoods of vulnerable hill communities, show ways of diversification of income while also initiating the process of natural resource management in the region. The project will deliver this objective through achieving five outcomes:    ",,
44,Climate Proofing of Watershed Development Projects in the States of Tamil Nadu and Rajasthan,Project Under Implementation,Multiple; see the project document,3 years,,10/09/2015,09/01/2016,India/Asia-Pacific,National Bank for Agriculture and Rural Development,IND/NIE/Water/2013/1,"USD 1,344,155","USD 1,344,155",Water management,"Rajasthan is characterized by erratic and low rainfall with varying intensity and uneven distribution of heavy intensity rainfall in short spell. In addition, the steep slopes with sandy soils make livelihoods of small and marginal farmers from natural resources a very challenging task. A major portion of rainfall goes off as runoff, which also takes the top layer of soil away from the fields.  The water tables in general are very deep and are declining further on account of overdraft. Combination of all these factors makes agriculture a very difficult proposition in the region. Hence, the central focus of this project is on works related to water and soil conservation and watershed development. Tamil Nadu, a southern state of India, is one of the water starved states, where the per capita availability of water resources is 900 cubic meters per year as compared to all India average of 2,200 cubic meters.  The annual average rainfall for the state is around 921.50 mm (48% during north-east monsoon, 35% during south-west monsoon, 14% during summer and 3% during winter). In the absence of perennial rivers, rainfall is the only source of water in the state and that too inconsistent due to vagaries of monsoon. There is an urgent need for replenishing the ground water aquifer with each and every drop of rain water to ward-off impending severe water scarcity and for sustainable development. Rain water harvesting and run-off management structures such as check dams, percolation ponds, farm ponds, Water Absorption Trenches (WATs), recharge shafts etc. are required to be constructed in order to improve the moisture regime of the watershed for increased land use). Objectives: The overall objective of this program is to improve climate resilience and build adaptive capacities of the communities to climate change in the rain-fed areas of Tamil Nadu and Rajasthan. Objective 1: Improving adaptation to climate variability / change in farm sector with better management and maintenance of soil and water regime enabling better crop / pasture land productivity and resultant increase in income of small and marginal farmers.Objective 2: Promoting climate resilient farming system and diversification of livelihoods engaging community and their associations in the concrete adaptation pathway.Objective 3: Reducing climate change vulnerability and process of marginalization with integration of risk mitigation products, like crop, weather and market advisory; and information system.Objective 4: Creation of knowledge management system on climate change adaptation and sharing the learning to wider audience for replication and technology cascading.  ",,
45,Enhancing Adaptive Capacity and Increasing Resilience of Small and Marginal Farmers in Purulia and Bankura Districts of West Bengal,Project Under Implementation,Development Research Communication &amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp; Services Cent,4 years,,10/10/2014,05/28/2015,India/Asia-Pacific,National Bank for Agriculture and Rural Development,IND/NIE/Agri/2014/1,"USD 2,510,854","USD 2,510,854",Agriculture,"In West Bengal, an eastern state of India, 17.4% of the total Net State Domestic Product (NSDP, 2012-13) and 70% of the total population, mainly the rural population, are dependent on climate sensitive sectors (such as agriculture including animal husbandry and horticulture, forestry and fisheries). This project aims at developing climate adaptive and resilient livelihood systems through diversification, technology adoption and natural resource management for rural small and marginal farmers associated with agriculture and allied sector in Lateritic Zone of West Bengal. Specifically, it would seek to enhance adaptive capacity of vulnerable farm families in semi-arid regions of Purulia and Bankura districts of West Bengal by introducing measures to tide over the adverse impacts of climate change on their food and livelihood security. This project focuses on 5,000 households covering about 22,596 beneficiaries who belong to vulnerable small and marginal farming communities and communities dependent on natural resources as livelihood option. The project is executed by Development Research Communication and Services Centre (DRCSC), which has been operating in the semi-arid region of West Bengal for the last 15 years. It builds on earlier work done by DRCSC such as the project “Diversifying livelihood options through integrated production system for climate change adaptation and food & livelihood security of the small and marginal farmers in water logged flood plain of West Bengal (CCA IFS)” supported by GIZ and the Indian Ministry of Environment and Forests, and the project “Collective Action to Reduce Climate Disaster Risks and enhancing Resilience of Vulnerable Coastal Communities around the Sundarbans in Bangladesh and India”, supported by the European Union.   Component 1: Preparation of Land & Water use master plan USD 54,165 Component 2: Reducing climate risks through timely and appropriate early warning in local language USD 55,401 Component 3: Climate resilient technology transfer for enhancing the adaptive capacity of the community USD 1,877,373 Component 4: Learning and Knowledge Management USD 126,284 Project/Programme Execution Cost USD 201,162  Total Project/Programme Cost (= Project Components + Execution Cost) USD 2,314,386  Implementing Fee USD 196,469 Grant Amount (= Total Project/Programme Cost + Implementing Fee)  USD 2,510,854   ",,
46,Conservation and Management of Coastal Resources as a Potential Adaptation Strategy for Sea Level Rise,Project Under Implementation,M. S. Swaminathan Research Foundation (MSSRF),4 years,,10/10/2014,06/23/2015,India/Asia-Pacific,National Bank for Agriculture and Rural Development,IND/NIE/Coastal/2014/1,"USD 689,264","USD 689,264",Coastal management,"The Krishna delta, home to about 4.5 million people, is located in the state of Andhra Pradesh on the southeast coast of India. The project region is highly vulnerable to the predicted changes in the climatic condition and sea level rise and associated extreme events such as cyclones and floods. The cumulative effect of sea level rise and increased intensity of cyclonic storms has lead to salinization of land and water resources. According to an estimate, a total area of 35,000 ha of prime agriculture land in coastal Andhra Pradesh will become saline due to sea level rise alone which will lead to lesser productivity of land resources and, in turn, reduce income and increase poverty in vulnerable coastal areas. Objectives: The aim of the project is to overcome the consequences of salinization and other impacts of the coastal area due to sea level rise and seawater inundation due to increased cyclonic storms and storm surges through appropriate adaptation strategies such as restoration of degraded mangroves and demonstration of Integrated Mangrove Fishery Farming System (IMFFS). Restoration of mangroves will be taken up in degraded, saline and unprotected mangrove areas located in Revenue Department land and thus, it will serve as a model for management of similar areas of unprotected mangroves. Restoration of degraded mangroves will be undertaken with native multiple mangrove species to improve the health of the mangrove forest, which in turn, will avoid ingression of seawater. It is proven that an increase in the height of the mangrove substratum is almost equal to predicted annual increase in sea level. The mangrove ecosystem will help to build the land through sedimentation of suspended solids in the root zone preventing exposure of land, water, other coastal resources and livelihood assets to saline water inundation. IMFFS will be demonstrated in lands owned by small aqua farms so that it can be a model for other farmers both to sustain income from fish farming as well as improve protection from cyclonic storms. IMFFS will also increase the opportunity to integrate both physical security against sea level rise and livelihood security of the coastal community. The raised bunds of this farming system are planned to act as embankments protecting coastal villages from salt water intrusion during storm surges.The executing entity of the project is M. S. Swaminathan Research Foundation (MSSRF), supported by Praja Pragathi Seva Sangam (PPSS). MSSRF has worked in the region for several years and restored more than 450 ha of degraded mangroves. PPSS is a local non-governmental organization which has collaborated with MSSRF on coastal area natural resources management since 2007.   Component 1: Stakeholder mobilization and organization USD 13,333 Component 2: Capacity building for coastal protection and livelihoods USD 15,000 Component 3: Restoration of degraded mangroves in 200 ha along the Krishna estuary USD 106,950 Component 4: Demonstration of Integrated mangrove based fishery livelihoods USD 386,600 Component 5: Knowledge Management USD 53,334 Project/Programme Execution Cost USD 60,050  Total Project/Programme Cost (= Project Components + Execution Cost) USD 635,266 Implementing Fee USD 53,998 Grant Amount (= Total Project/Programme Cost + Implementing Fee)  USD 689,264   ",,
47,EMBRACING THE SUN: Redefining Public Space as a Solution for the Effects of Global Climate Change in Indonesia’s Urban Areas,Project Under Implementation,"School of Design Office, Creative Industries Faculty, Queensland University of Technology,Resilience Research Institute, the University 17 Agustus 1945 Surabaya, Indonesia",2 years,,10/21/2021,11/21/2022,Indonesia/Asia-Pacific,Partnership for Governance Reform (Kemitraan) of Indonesia,,"USD 549,890","USD 824,835",Urban development,"   Floods in Samarinda occur almost every year and are always recurring, especially in the rainy season. Duration, height and extent of inundation happens to vary greatly. The duration of the floods that occurred ranged from 3-10 hours. This project aims to explore flood adaptation infrastructures as a new typology of public space to face climate adaptation, so enhance awareness of Indonesian and laid a concrete resilient groundwork in the face of the climate crisis. The project will support communities in absorbing and adapting to the impact of annual flooding and support communities in pre- and post-disaster and contribute to reduce the ecological footprint. The selected public space, identified in consultation with Samarinda City Government, will act as multipurpose spaces within the specific framework of being in the first instance designed to support local communities to adapt to floods -not just in terms of physical response, and mainly focusing on the social response to flooding. The goal is to benefit around 2,855 people directly and 152,050 indirectly.  ",,
48,"Safekeeping-Surviving-Sustaining towards Resilience: 3S Approach to Build Coastal City Resilience to Climate Change Impacts and Natural Disasters in Pekalongan City, Central Java Province",Project Under Implementation,Kemitraan (The Partnership for Governance Reform),3 years,,09/23/2020,07/15/2021,Indonesia/Asia-Pacific,Partnership for Governance Reform (Kemitraan) of Indonesia,,"USD 2,518,797","USD 5,972,670",Multi-sector,"Adaptation measures taken in Pekalongan City to address climate change issue are somewhat lacking in evaluation that derives from the non-existent of a comprehensive climate risk assessment. A such complex issue such as climate change needs across-the-board measures to be able to address the issue effectively, and from its roots. Considering that most of the risks are deriving from changes in climate indicators, hence it is of importance to develop climate risk assessment prior to intervening with different projects, so that the projects results can be tracked back to the initial level of risk. It is this gap that this proposed programme tries to bridge, by implementing comprehensive approach encompassing technical assessment, planning, intervention, and also monitoring and evaluation; which will be supported by framework and measures to fortify institutional mechanism on climate adaptation and resilience issue. In practical the programme components will be started with identifying the roots of the problem (climate risk assessment) and followed by developing and implementing the adaptation plan (in the form of intervention projects) which results can be tracked back to the problem; while simultaneously building stakeholders’ capacity and advocating climate resilience policy along the course of the programme. This programme will focus on building resilience to climate change impacts in Pekalongan City, one of the coastal cities in Central Java Province (in North Coast of Java region), by employing interventions in the form of not only hard structure but also soft structure; touching not only physical interventions but also building their socio-economic and institutional capacity.  ",,
49,"Adapting to Climate Change through Sustainable Integrated Watershed Governance in Indigenous People of Ammatoa Kajang Customary Area in Bulukumba Regency, South Sulawesi Province, Indonesia",Project Under Implementation,"PERKUMPULAN PAYO PAYO,OASE (An Organization on Social and Environmental issues)",2 years,,09/23/2020,04/01/2021,Indonesia/Asia-Pacific,Partnership for Governance Reform (Kemitraan) of Indonesia,,"USD 1,125,015","USD 1,125,015",Water management,"The overall main objective is to enhance climate resilience and build adaptive capacity toward climate change for vulnerable community through sustainable integrated watershed governance in Indigenous People of Ammatoa Kajang Customary Area in Bulukumba, South Sulawesi Province. The program will deliver this objective and will have these four outcomes  ",,
50,"Enhancing the adaptation capability of coastal community in facing the impacts of climate change in Negeri (village), Asilulu, Ureng and Lima of Leihitu District Maluku Tengah Regency Maluku Province",Project Under Implementation,Harmony Alam Indonesia (HAI) Foundation,3 years,,10/21/2021,08/29/2022,Indonesia/Asia-Pacific,Partnership for Governance Reform (Kemitraan) of Indonesia,,"USD 320,794","USD 963,456",Coastal management," Central Maluku consists of small islands vulnerable to even the smallest of ecological changes. As an archipelago, this area greatly depends on the ocean; both as source of living and connecting route between areas. Weather and seasons are among the factors influencing tidal range, ocean current strength, and wind speed—which in turns influence people’s ability in earning money and their mobility. The main objective of this project is to support climate change adaptation action and its implementing stages in Maluku Province as established in Climate Change Mitigation and Adaptation Road Map and Sustainable Development of Maluku Province. In particular, this project aims to improve the level of adaptability and resilience, as well as to eliminate vulnerability in the social, economic and ecological standpoint from the threat of climate change experienced by coastal communities in three Negeri/Villages, utilizing sustainability principles in managing and leveraging coastal ecosystem region. The goal is to benefit around 2,980 people directly and 10,500 indirectly. In addition, the project aims to restore 500 meters of coastal embankment structure.  ",,
51,Community Adaptation for Forest-Food Based Management in Saddang Watershed Ecosystem,Project Under Implementation,"Environmental and Climate Change AdaptationConsortium (Konsorsium Adaptasi Perubahan Iklim dan Lingkungan/KAPABEL)",1 years,,07/08/2019,10/20/2020,Indonesia/Asia-Pacific,Partnership for Governance Reform (Kemitraan) of Indonesia,,"USD 835,465","USD 835,465",Food Security," The level of area risk due to climate change associated with the disaster level in the Saddang Watershed area shows that 93% of villages in the watershed are vulnerable to climate change. Increased rainfall caused various disasters in watershed area, which is recorded as many as 342 times starting from 2009-2014 in form of landslides and floods. These disasters resulted in about 66% of decrease in food productivity of the commodities of rice crops. The productivity of agricultural and plantation products also decreased due to the decreasing of land carrying capacity and high level of critical land in the area of Saddang Watershed. Temperature increases in future projections will aggravate environmental conditions due to climate change such as causing the extinction of some species of wildlife and plants, increasing the frequency of floods and droughts, and decreasing food productivity in both local and regional scales. In line with the main objectives of Indonesia’s 2014 Climate Change Adaptation National Action Plan (RAN – API), through a series of interventions from this project will be able to increase resilience to climate change impacts both in food security through the development of forest food and food diversification, as well as ecosystem resilience through enhancement of forest cover quality in the Priority Watershed, as well as resilience through integrated coastal management. The main objective of this program is to increase resilience to food security of the community of Saddang Watershed ecosystem as an effort to adapt to climate change that focuses on: 1) Strengthened Social Forestry in encouraging forest food in the upstream of Saddang Watershed which has implications for the improvement of the environment and the increase of people’s income; 2) Improved coastal governance and carrying capacity in support of climate change adaptation downstream of Saddang Watershed; 3) Strengthened crosscutting policies in ensuring the sustainability of climate change adaptation; 4) Capacity building and stakeholder support on climate change adaptation through knowledge dissemination and management.    ",,
52,Building Resilience of the Agriculture Sector to Climate Change in Iraq,Project Under Implementation,,6 years,,03/22/2018,12/10/2019,Iraq/Asia-Pacific,International Fund Agricultural Dev,IRQ/MIE/Agri/2017/1,"USD 1,300,800","USD 9,999,660",Agriculture,"The agricultural sector in Iraq is highly vulnerable to climate change impacts. Climate change is already showing major impacts in terms of water scarcity and soil salinization, with increased vulnerability of poor rural communities. The predicted future climate conditions will significantly reduce water availability in the spring/summer periods critical for crop production, causing marked reduction in runoff relative to input precipitation, increased evapotranspiration, and decreased soil moisture, and increased soil salinity risk. The project objective is to strengthen the agro-ecological and social resilience to climate change in the four target governorates (Muthanna, Qadisiya, Missan and Thi Qar), by enhancing water availability and use efficiency, and promoting adaptive agriculture production systems and technologies for improved livelihoods and food security of rural households. The project is designed to deal with one of the major constraints in the country that centres around the growing scarcity of irrigation water and to assist the country with strengthening its capacity at the national level for monitoring climate change patterns and providing relevant information to key stakeholders and farmers to enable them to undertake adaptation and risk mitigation measures through an early warning system. The project consists of two components: Component 1: Capacity development to integrate CC adaptation and risk reduction into agriculture planning and production systemsComponent 2: Climate-resilient agriculture investments",,
53,Enhancing the Resilience of the Agricultural Sector and Coastal Areas to Protect Livelihoods and Improve Food Security,Project Under Implementation,,3.5 years,,06/28/2012,11/02/2012,Jamaica/Latin America & Caribbean,Planning Institute of Jamaica,JAM/NIE/Multi/2011/1,"USD 8,748,735","USD 9,965,000",Multi-sector,"  The sites selected for programme intervention will cover seven of the 14 parishes in the country: Westmoreland, Manchester, Clarendon, St. Mary, St. Ann, Trelawny and St. Thomas.  ",,
54,Increasing the resilience of poor and vulnerable communities to climate change,Project Under Implementation,,4 years,,04/10/2015,07/13/2016,Jordan/Asia-Pacific,Ministry of Planning and International Cooperation,JOR/NIE/Multi/2012/1,"USD 9,226,000","USD 9,226,000",Multi-sector,"The main goal of the proposed expansion of the waste water reuse project at Wadi Mousa is to maximize the reuse of waste water treatment plant effluent as a community adaptation method to climate change where the reuse of reclaimed water can be demonstrated to be a productive, economical, reliable, environmentally safe for sustainable irrigated agriculture that can replace the use of fresh water supplies (as ground water aquifers are already under stress in Jordan due to over abstraction). The primary aim of this project is to develop the sustainability of waste water reuse activities and on-farm integrated agriculture in Wadi Mousa as a mean of climate change adaptation. The project has following components and sub-goals:    ",,
55,Integrated Programme To Build Resilience To Climate Change & Adaptive Capacity Of Vulnerable Communities In Kenya,Project Under Implementation,"KEFRI, TARDA, CDA",3 years,,10/10/2014,01/29/2016,Kenya/Africa,National Environment Management Authority,KEN/NIE/Multi/2013/1,"USD 9,998,302","USD 9,998,302",Multi-sector,"Kenya comprises 83% of arid and semi-arid land and has an economy and livelihoods that are heavily reliable on rain-fed agriculture, which is in turn vulnerable to extreme droughts exacerbated by climate change and variability. This programme seeks to enhance resilience and adaptive capacity to climate change for selected communities in various Counties in Kenya in order to increase food security and environmental management. Hence, the programme develops and implements integrated adaptive mechanisms to increase community livelihood resilience to climate change. The programme presents five components:   Component 1: Enhancing Climate Change resilience for improved food security in selected Counties USD 2,522,246 Component 2: Improving climate resilient water management systems to enhance food security in selected Counties in Kenya USD 3,210,455 Component 3Increasing resilience to the effects of rise in sea level and shoreline changes through Integrated Shoreline and Mangrove Ecosystem Management in the Coastal region of Kenya USD 1,086,478 Component 4: Disaster risk reduction and increasing preparedness among targeted vulnerable communities USD 1,177,000 Component 5: Strengthening institutional capacity and knowledge management on climate change adaptation USD 476,958 Project/Programme Execution Cost USD 804,948 Total Project/Programme Cost (= Project Components + Execution Cost) USD 9,277,143 Implementing Fee USD 720,217 Grant Amount (= Total Project/Programme Cost + Implementing Fee)  USD 9,998,302   ",,
56,Regional Resilient Pastoral Communities Project -ADAPT,Proposal Approved,"Ministry of Agriculture (MoA),Ministry of Natural Resources, Ecology and Technical Supervision (MoNR)",4 years,,04/08/2022,,Kyrgyzstan/Asia-Pacific,International Fund Agricultural Dev,,"USD 803,662","USD 9,999,313",Agriculture,"   The Kyrgyz forests face severe degradation due to overharvesting for use as fuel wood (mainly managed by women) and housing construction. The country’s fragile mountain topography, combined with depletion of forest cover, results in wind and water soil erosion on sloping lands. Other interrelated problems relate to risks of landslides, mudflows and flooding due to poor storage basin management, unsustainable use of water resources and deterioration of water quality due to sedimentation. The intensity of erosion is primarily due to water-runoff, soil sedimentation and harmful agricultural practices utilized on sloping land. The Kyrgyz forestry sector confronts other threats as well. The lack of timber imports into the country, overgrazing on forested lands and the steady growth of population, all put increasing pressure on Kyrgyz forests. Over the last thirty years, forest cover has been reduced by at least 50 percent. Intensive livestock grazing has had a significant effect on forests, with almost one million ha of forestland being used for grazing. Pastures are overgrazed in the low and middle altitudes due to inappropriate herd management and stocking rates. The project goal is to contribute to rural poverty alleviation in the country through increased climate resilience, incomes and gender-sensitive growth in rural farming communities. The proposed Regional Resilient Pastoral Communities Project – ADAPT promotes climate-adaptive resilience through a targeted approach to reduce rangeland and forest degradation and to actively improve the condition of these interlinked ecosystems. The project will mainstream participatory, sustainable, forest and rangeland management for the stakeholders in the forests and rangelands of Kyrgyzstan. This project upscales the lessons learned and best practices from a number of preceding projects namely the IFAD LMDP I & II and ATMP projects; the World Bank / GEF – IFEMP; FAO / GEF – Sustainable management of mountainous forest and land resources under climate change conditions; the GIZ Ecosystem-based Adaptation to Climate Change in High Mountainous Regions of Central Asia; and the IFAD BALI pilot. The AF will target around 23 Pasture User Unions (PUUs) to improve the climate-resilience of their pastures. The RRPCP-Adapt will target Leskhozes in climate-vulnerable areas that were not targeted by the World Bank Integrated Forest Ecosystem Management Project (IFEMP) project. Given that PUUs generally comprise between 850 and 1,000 member households (with an average size of 5.3 persons per household), IFAD assumes a total outreach of 109,710 persons (20,700 households), of which 50% will be women. The project area will focus on the rural PUU areas identified as being climate-vulnerable and provinces where the regional level of poverty is higher. RRPCP-Adapt will thus work in areas characterized by a high concentration of poor or high poverty rates and high vulnerability to climate change.     ",,
57,Building climate and disaster resilience capacities of vulnerable small towns in Lao PDR,Project Under Implementation,"Ministry of Public Works and Transport,Min of Natural Resources and Environment,Provincial Department of Public Works and Transport in Savannakhet Province,Department of Natural Resources and Environment in Savannakhet Province",4 years,,07/08/2019,06/05/2020,Lao People's Democratic Republic/Asia-Pacific,UN-Habitat,,"USD 5,153,876","USD 5,500,000",Disaster Risk Reduction," Lao People’s Democratic Republic (PDR) has been increasingly affected by extreme weather events. This is particularly problematic due to its high sensitivity, resulting from dependence on climate-sensitive natural resources and its low adaptive capacity. The impacts of extreme weather events have been severe to the point that in 2013 Lao PDR was named the 7th most severely affected country in the world by climate change. Irregularity in rainfall has led to both floods and droughts, with a variation in severity from year to year. Projected increases in flooding and droughts are expected to impact livelihoods, health, physical infrastructure and the economy in general. In addition to extreme events, variation in the seasons has disrupted cropping, causing food insecurity. The objective of this project is to build climate resilience in small towns along the east-west economic corridor in the central region of Lao PDR. This will be achieved through the provision of climate resilient water infrastructure and the mainstreaming of climate change into urban planning. The project has three components.   ",,
58,Enhancing the climate and disaster resilience of the most vulnerable rural and emerging urban human settlements in Lao PDR,Project Under Implementation,Ministry of Natural Resources and Environment; Min,4 years,,10/07/2016,02/24/2017,Lao People's Democratic Republic/Asia-Pacific,UN-Habitat,LAO/MIE/DRR/2016/1,"USD 4,500,000","USD 4,500,000",Disaster Risk Reduction,"Lao People’s Democratic Republic (PDR) is one of the most climate vulnerable countries in the world. This is mainly due to its high dependence on climate-sensitive natural resources and its low adaptive capacity. The country has been increasingly affected by natural hazards. Floods, droughts, and storms, which often trigger secondary hazards such as landslides, fires, infestations and outbreaks of disease, cause each year loss of life and severe damage to livelihoods and infrastructure. Considering the expected impacts of climate change, with wet seasons getting wetter and dry seasons getting dryer, these hazards are likely to increase in frequency and intensity. The project’s main objective is to enhance the climate and disaster resilience of the most vulnerable rural and emerging urban human settlements in Southern Lao PDR by increasing sustainable access to basic infrastructure systems and services, emphasizing resilience to storms, floods, droughts, landslides and disease outbreaks. The specific project objectives are:   ",,
59,Climate Smart Agriculture: Enhancing Adaptive Capacity of the Rural Communities in Lebanon (AgriCAL),Project Under Implementation,Ministry of Agriculture,4 years,,06/28/2012,09/15/2015,Lebanon/Asia-Pacific,International Fund Agricultural Dev,LBN/MIE/Agri/2012/1,"USD 6,863,315","USD 7,860,825",Agriculture,    ,,
