Country/Region,Project Title,Project Description,Sector,Status,Implementing Entity,Executing Entity,Duration,Approval Date,Start Date,Completion Date,Transferred Amount,Grant Amount
India/Asia-Pacific,"Building Adaptive Capacities of Communities, Livelihoods and Ecological Security in the Kanha-Pench Corridor of Madhya Pradesh","The Kanha-Pench Corridor (KPC) spreads across three administrative districts (Balaghat, Mandla and Seoni) of the Central Indian state of Madhya Pradesh. In the last two decades, the Kanha-Pench Corridor has faced severe degradation caused by an increase in anthropogenic pressure and climate change. Studies of the corridor area reveal that while the forests within the corridor has excellent patches with continuous regeneration, patches which are completely or partially degraded are increasing constantly due to their diversion for developmental purposes or by over extraction of its resources (fuel wood, timber, fodder etc). This situation in the landscape is further exacerbated by climate change. The rainfall and temperature patterns in the region have undergone a change in the past few decades which have impacted both forests and other ecosystem based livelihoods like agriculture and livestock. The KPC forms one of the most crucial tiger conservation units of the world, as it is still a contiguous forest patch of 16,000 km2 and connects the Kanha and Pench Tiger reserves. The KPC also supports rich biodiversity and provides important ecosystem services like regulating hydrology and carbon sequestration. Besides its ecological functions, the KPC supports a substantial human population that is extremely vulnerable socio-economically. The project will be implemented in 56 villages that lie in and around the KPC which is one of the 4 forested wildlife movement corridors in the Satpuda Maikal Landscape. Learn more  ",Forests,Project Under Implementation,National Bank for Agriculture and Rural Development,RBS Foundation India; Madhya Pradesh Forest Dept.,5 years,10/7/2016,4/1/2017,,"USD 2,556,093","USD 2,556,093"
India/Asia-Pacific,"Building Adaptive Capacities of Small Inland Fishermen Community for Climate Resilience and Livelihood Security, Madhya Pradesh, India","Madhya Pradesh is situated in the central region of India, and is the second largest state in the nation. The state is mainly plateau land with the exception of valleys of the Narmada and Tapti rivers and interspersed with mountains of the Vindhyas and Satpura ranges. The state gives birth to the Narmada, Tapti and Mahi rivers and contains sub catchments of the Ganga, and Yamuna rivers. The total river length of 17,088 km and 3.98mha of water spread area in reservoirs represent the available resources of fisheries in the state. Of the available reservoir area, 98% has been brought under fisheries, including 0.64mha of rural ponds. Fisheries are a major source of employment for the rural population. Objectives: The broad objective of the project is to make the fishery sector (captive inland fishery) adaptive to climate variability and enhance the adaptive capacity of the fish farmers to ensure their livelihood security in Madhya Pradesh, India. The project has following specific outcomes:  ",Food Security,Project Under Implementation,National Bank for Agriculture and Rural Development,Towards Action and Learning (TAAL),3 years,4/10/2015,11/18/2018,,"USD 895,240","USD 1,790,500"
India/Asia-Pacific,Climate smart actions and strategies in north western Himalayan region for sustainable livelihoods of agriculture-dependent hill communities,"Rising temperatures, changed precipitation conditions, and extreme weather events have increased the vulnerability of the communities in the Indian Himalayan Region and further accelerated the process of marginalization of the hill communities in the Champawat district, in Uttarakhand state. Climate change has also accelerated the process of degradation of the natural resource base. The effects of climate change are more severe on women and poor marginalized groups including small and marginal farmers residing in the hill areas. Objectives: The project aims to improve the adaptive capacity of rural small and marginal farmers including hill women in North Western Himalayan region by introducing a combination of Climate Smart Farming Technologies along with required social engineering and capacity building processes. These packages of activities is expected to improve /sustain the livelihoods of vulnerable hill communities, show ways of diversification of income while also initiating the process of natural resource management in the region. The project will deliver this objective through achieving five outcomes:    ",Agriculture,Project Under Implementation,National Bank for Agriculture and Rural Development,BAIF Development Research Foundation,4 years,10/9/2015,8/22/2016,,"USD 969,570","USD 969,570"
India/Asia-Pacific,Climate Proofing of Watershed Development Projects in the States of Tamil Nadu and Rajasthan,"Rajasthan is characterized by erratic and low rainfall with varying intensity and uneven distribution of heavy intensity rainfall in short spell. In addition, the steep slopes with sandy soils make livelihoods of small and marginal farmers from natural resources a very challenging task. A major portion of rainfall goes off as runoff, which also takes the top layer of soil away from the fields.  The water tables in general are very deep and are declining further on account of overdraft. Combination of all these factors makes agriculture a very difficult proposition in the region. Hence, the central focus of this project is on works related to water and soil conservation and watershed development. Tamil Nadu, a southern state of India, is one of the water starved states, where the per capita availability of water resources is 900 cubic meters per year as compared to all India average of 2,200 cubic meters.  The annual average rainfall for the state is around 921.50 mm (48% during north-east monsoon, 35% during south-west monsoon, 14% during summer and 3% during winter). In the absence of perennial rivers, rainfall is the only source of water in the state and that too inconsistent due to vagaries of monsoon. There is an urgent need for replenishing the ground water aquifer with each and every drop of rain water to ward-off impending severe water scarcity and for sustainable development. Rain water harvesting and run-off management structures such as check dams, percolation ponds, farm ponds, Water Absorption Trenches (WATs), recharge shafts etc. are required to be constructed in order to improve the moisture regime of the watershed for increased land use). Objectives: The overall objective of this program is to improve climate resilience and build adaptive capacities of the communities to climate change in the rain-fed areas of Tamil Nadu and Rajasthan. Objective 1: Improving adaptation to climate variability / change in farm sector with better management and maintenance of soil and water regime enabling better crop / pasture land productivity and resultant increase in income of small and marginal farmers.Objective 2: Promoting climate resilient farming system and diversification of livelihoods engaging community and their associations in the concrete adaptation pathway.Objective 3: Reducing climate change vulnerability and process of marginalization with integration of risk mitigation products, like crop, weather and market advisory; and information system.Objective 4: Creation of knowledge management system on climate change adaptation and sharing the learning to wider audience for replication and technology cascading.  ",Water management,Project Under Implementation,National Bank for Agriculture and Rural Development,Multiple; see the project document,3 years,10/9/2015,9/1/2016,,"USD 1,344,155","USD 1,344,155"
India/Asia-Pacific,Enhancing Adaptive Capacity and Increasing Resilience of Small and Marginal Farmers in Purulia and Bankura Districts of West Bengal,"In West Bengal, an eastern state of India, 17.4% of the total Net State Domestic Product (NSDP, 2012-13) and 70% of the total population, mainly the rural population, are dependent on climate sensitive sectors (such as agriculture including animal husbandry and horticulture, forestry and fisheries). This project aims at developing climate adaptive and resilient livelihood systems through diversification, technology adoption and natural resource management for rural small and marginal farmers associated with agriculture and allied sector in Lateritic Zone of West Bengal. Specifically, it would seek to enhance adaptive capacity of vulnerable farm families in semi-arid regions of Purulia and Bankura districts of West Bengal by introducing measures to tide over the adverse impacts of climate change on their food and livelihood security. This project focuses on 5,000 households covering about 22,596 beneficiaries who belong to vulnerable small and marginal farming communities and communities dependent on natural resources as livelihood option. The project is executed by Development Research Communication and Services Centre (DRCSC), which has been operating in the semi-arid region of West Bengal for the last 15 years. It builds on earlier work done by DRCSC such as the project “Diversifying livelihood options through integrated production system for climate change adaptation and food & livelihood security of the small and marginal farmers in water logged flood plain of West Bengal (CCA IFS)” supported by GIZ and the Indian Ministry of Environment and Forests, and the project “Collective Action to Reduce Climate Disaster Risks and enhancing Resilience of Vulnerable Coastal Communities around the Sundarbans in Bangladesh and India”, supported by the European Union.   Component 1: Preparation of Land & Water use master plan USD 54,165 Component 2: Reducing climate risks through timely and appropriate early warning in local language USD 55,401 Component 3: Climate resilient technology transfer for enhancing the adaptive capacity of the community USD 1,877,373 Component 4: Learning and Knowledge Management USD 126,284 Project/Programme Execution Cost USD 201,162  Total Project/Programme Cost (= Project Components + Execution Cost) USD 2,314,386  Implementing Fee USD 196,469 Grant Amount (= Total Project/Programme Cost + Implementing Fee)  USD 2,510,854   ",Agriculture,Project Under Implementation,National Bank for Agriculture and Rural Development,Development Research Communication &amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp; Services Cent,4 years,10/10/2014,5/28/2015,,"USD 2,510,854","USD 2,510,854"
India/Asia-Pacific,Conservation and Management of Coastal Resources as a Potential Adaptation Strategy for Sea Level Rise,"The Krishna delta, home to about 4.5 million people, is located in the state of Andhra Pradesh on the southeast coast of India. The project region is highly vulnerable to the predicted changes in the climatic condition and sea level rise and associated extreme events such as cyclones and floods. The cumulative effect of sea level rise and increased intensity of cyclonic storms has lead to salinization of land and water resources. According to an estimate, a total area of 35,000 ha of prime agriculture land in coastal Andhra Pradesh will become saline due to sea level rise alone which will lead to lesser productivity of land resources and, in turn, reduce income and increase poverty in vulnerable coastal areas. Objectives: The aim of the project is to overcome the consequences of salinization and other impacts of the coastal area due to sea level rise and seawater inundation due to increased cyclonic storms and storm surges through appropriate adaptation strategies such as restoration of degraded mangroves and demonstration of Integrated Mangrove Fishery Farming System (IMFFS). Restoration of mangroves will be taken up in degraded, saline and unprotected mangrove areas located in Revenue Department land and thus, it will serve as a model for management of similar areas of unprotected mangroves. Restoration of degraded mangroves will be undertaken with native multiple mangrove species to improve the health of the mangrove forest, which in turn, will avoid ingression of seawater. It is proven that an increase in the height of the mangrove substratum is almost equal to predicted annual increase in sea level. The mangrove ecosystem will help to build the land through sedimentation of suspended solids in the root zone preventing exposure of land, water, other coastal resources and livelihood assets to saline water inundation. IMFFS will be demonstrated in lands owned by small aqua farms so that it can be a model for other farmers both to sustain income from fish farming as well as improve protection from cyclonic storms. IMFFS will also increase the opportunity to integrate both physical security against sea level rise and livelihood security of the coastal community. The raised bunds of this farming system are planned to act as embankments protecting coastal villages from salt water intrusion during storm surges.The executing entity of the project is M. S. Swaminathan Research Foundation (MSSRF), supported by Praja Pragathi Seva Sangam (PPSS). MSSRF has worked in the region for several years and restored more than 450 ha of degraded mangroves. PPSS is a local non-governmental organization which has collaborated with MSSRF on coastal area natural resources management since 2007.   Component 1: Stakeholder mobilization and organization USD 13,333 Component 2: Capacity building for coastal protection and livelihoods USD 15,000 Component 3: Restoration of degraded mangroves in 200 ha along the Krishna estuary USD 106,950 Component 4: Demonstration of Integrated mangrove based fishery livelihoods USD 386,600 Component 5: Knowledge Management USD 53,334 Project/Programme Execution Cost USD 60,050  Total Project/Programme Cost (= Project Components + Execution Cost) USD 635,266 Implementing Fee USD 53,998 Grant Amount (= Total Project/Programme Cost + Implementing Fee)  USD 689,264   ",Coastal management,Project Under Implementation,National Bank for Agriculture and Rural Development,M. S. Swaminathan Research Foundation (MSSRF),4 years,10/10/2014,6/23/2015,,"USD 689,264","USD 689,264"
Indonesia/Asia-Pacific,EMBRACING THE SUN: Redefining Public Space as a Solution for the Effects of Global Climate Change in Indonesia’s Urban Areas,"   Floods in Samarinda occur almost every year and are always recurring, especially in the rainy season. Duration, height and extent of inundation happens to vary greatly. The duration of the floods that occurred ranged from 3-10 hours. This project aims to explore flood adaptation infrastructures as a new typology of public space to face climate adaptation, so enhance awareness of Indonesian and laid a concrete resilient groundwork in the face of the climate crisis. The project will support communities in absorbing and adapting to the impact of annual flooding and support communities in pre- and post-disaster and contribute to reduce the ecological footprint. The selected public space, identified in consultation with Samarinda City Government, will act as multipurpose spaces within the specific framework of being in the first instance designed to support local communities to adapt to floods -not just in terms of physical response, and mainly focusing on the social response to flooding. The goal is to benefit around 2,855 people directly and 152,050 indirectly.  ",Urban development,Project Under Implementation,Partnership for Governance Reform (Kemitraan) of Indonesia,"School of Design Office, Creative Industries Faculty, Queensland University of Technology,Resilience Research Institute, the University 17 Agustus 1945 Surabaya, Indonesia",2 years,10/21/2021,11/21/2022,,"USD 549,890","USD 824,835"
Indonesia/Asia-Pacific,"Safekeeping-Surviving-Sustaining towards Resilience: 3S Approach to Build Coastal City Resilience to Climate Change Impacts and Natural Disasters in Pekalongan City, Central Java Province","Adaptation measures taken in Pekalongan City to address climate change issue are somewhat lacking in evaluation that derives from the non-existent of a comprehensive climate risk assessment. A such complex issue such as climate change needs across-the-board measures to be able to address the issue effectively, and from its roots. Considering that most of the risks are deriving from changes in climate indicators, hence it is of importance to develop climate risk assessment prior to intervening with different projects, so that the projects results can be tracked back to the initial level of risk. It is this gap that this proposed programme tries to bridge, by implementing comprehensive approach encompassing technical assessment, planning, intervention, and also monitoring and evaluation; which will be supported by framework and measures to fortify institutional mechanism on climate adaptation and resilience issue. In practical the programme components will be started with identifying the roots of the problem (climate risk assessment) and followed by developing and implementing the adaptation plan (in the form of intervention projects) which results can be tracked back to the problem; while simultaneously building stakeholders’ capacity and advocating climate resilience policy along the course of the programme. This programme will focus on building resilience to climate change impacts in Pekalongan City, one of the coastal cities in Central Java Province (in North Coast of Java region), by employing interventions in the form of not only hard structure but also soft structure; touching not only physical interventions but also building their socio-economic and institutional capacity.  ",Multi-sector,Project Under Implementation,Partnership for Governance Reform (Kemitraan) of Indonesia,Kemitraan (The Partnership for Governance Reform),3 years,9/23/2020,7/15/2021,,"USD 2,518,797","USD 5,972,670"
Indonesia/Asia-Pacific,"Adapting to Climate Change through Sustainable Integrated Watershed Governance in Indigenous People of Ammatoa Kajang Customary Area in Bulukumba Regency, South Sulawesi Province, Indonesia","The overall main objective is to enhance climate resilience and build adaptive capacity toward climate change for vulnerable community through sustainable integrated watershed governance in Indigenous People of Ammatoa Kajang Customary Area in Bulukumba, South Sulawesi Province. The program will deliver this objective and will have these four outcomes  ",Water management,Project Under Implementation,Partnership for Governance Reform (Kemitraan) of Indonesia,"PERKUMPULAN PAYO PAYO,OASE (An Organization on Social and Environmental issues)",2 years,9/23/2020,4/1/2021,,"USD 1,125,015","USD 1,125,015"
Indonesia/Asia-Pacific,"Enhancing the adaptation capability of coastal community in facing the impacts of climate change in Negeri (village), Asilulu, Ureng and Lima of Leihitu District Maluku Tengah Regency Maluku Province"," Central Maluku consists of small islands vulnerable to even the smallest of ecological changes. As an archipelago, this area greatly depends on the ocean; both as source of living and connecting route between areas. Weather and seasons are among the factors influencing tidal range, ocean current strength, and wind speed—which in turns influence people’s ability in earning money and their mobility. The main objective of this project is to support climate change adaptation action and its implementing stages in Maluku Province as established in Climate Change Mitigation and Adaptation Road Map and Sustainable Development of Maluku Province. In particular, this project aims to improve the level of adaptability and resilience, as well as to eliminate vulnerability in the social, economic and ecological standpoint from the threat of climate change experienced by coastal communities in three Negeri/Villages, utilizing sustainability principles in managing and leveraging coastal ecosystem region. The goal is to benefit around 2,980 people directly and 10,500 indirectly. In addition, the project aims to restore 500 meters of coastal embankment structure.  ",Coastal management,Project Under Implementation,Partnership for Governance Reform (Kemitraan) of Indonesia,Harmony Alam Indonesia (HAI) Foundation,3 years,10/21/2021,8/29/2022,,"USD 320,794","USD 963,456"
Indonesia/Asia-Pacific,Community Adaptation for Forest-Food Based Management in Saddang Watershed Ecosystem," The level of area risk due to climate change associated with the disaster level in the Saddang Watershed area shows that 93% of villages in the watershed are vulnerable to climate change. Increased rainfall caused various disasters in watershed area, which is recorded as many as 342 times starting from 2009-2014 in form of landslides and floods. These disasters resulted in about 66% of decrease in food productivity of the commodities of rice crops. The productivity of agricultural and plantation products also decreased due to the decreasing of land carrying capacity and high level of critical land in the area of Saddang Watershed. Temperature increases in future projections will aggravate environmental conditions due to climate change such as causing the extinction of some species of wildlife and plants, increasing the frequency of floods and droughts, and decreasing food productivity in both local and regional scales. In line with the main objectives of Indonesia’s 2014 Climate Change Adaptation National Action Plan (RAN – API), through a series of interventions from this project will be able to increase resilience to climate change impacts both in food security through the development of forest food and food diversification, as well as ecosystem resilience through enhancement of forest cover quality in the Priority Watershed, as well as resilience through integrated coastal management. The main objective of this program is to increase resilience to food security of the community of Saddang Watershed ecosystem as an effort to adapt to climate change that focuses on: 1) Strengthened Social Forestry in encouraging forest food in the upstream of Saddang Watershed which has implications for the improvement of the environment and the increase of people’s income; 2) Improved coastal governance and carrying capacity in support of climate change adaptation downstream of Saddang Watershed; 3) Strengthened crosscutting policies in ensuring the sustainability of climate change adaptation; 4) Capacity building and stakeholder support on climate change adaptation through knowledge dissemination and management.    ",Food Security,Project Under Implementation,Partnership for Governance Reform (Kemitraan) of Indonesia,"Environmental and Climate Change AdaptationConsortium (Konsorsium Adaptasi Perubahan Iklim dan Lingkungan/KAPABEL)",1 years,7/8/2019,10/20/2020,,"USD 835,465","USD 835,465"
Kenya/Africa,Integrated Programme To Build Resilience To Climate Change & Adaptive Capacity Of Vulnerable Communities In Kenya,"Kenya comprises 83% of arid and semi-arid land and has an economy and livelihoods that are heavily reliable on rain-fed agriculture, which is in turn vulnerable to extreme droughts exacerbated by climate change and variability. This programme seeks to enhance resilience and adaptive capacity to climate change for selected communities in various Counties in Kenya in order to increase food security and environmental management. Hence, the programme develops and implements integrated adaptive mechanisms to increase community livelihood resilience to climate change. The programme presents five components:   Component 1: Enhancing Climate Change resilience for improved food security in selected Counties USD 2,522,246 Component 2: Improving climate resilient water management systems to enhance food security in selected Counties in Kenya USD 3,210,455 Component 3Increasing resilience to the effects of rise in sea level and shoreline changes through Integrated Shoreline and Mangrove Ecosystem Management in the Coastal region of Kenya USD 1,086,478 Component 4: Disaster risk reduction and increasing preparedness among targeted vulnerable communities USD 1,177,000 Component 5: Strengthening institutional capacity and knowledge management on climate change adaptation USD 476,958 Project/Programme Execution Cost USD 804,948 Total Project/Programme Cost (= Project Components + Execution Cost) USD 9,277,143 Implementing Fee USD 720,217 Grant Amount (= Total Project/Programme Cost + Implementing Fee)  USD 9,998,302   ",Multi-sector,Project Under Implementation,National Environment Management Authority,"KEFRI, TARDA, CDA",3 years,10/10/2014,1/29/2016,,"USD 9,998,302","USD 9,998,302"
Lao People's Democratic Republic/Asia-Pacific,Building climate and disaster resilience capacities of vulnerable small towns in Lao PDR," Lao People’s Democratic Republic (PDR) has been increasingly affected by extreme weather events. This is particularly problematic due to its high sensitivity, resulting from dependence on climate-sensitive natural resources and its low adaptive capacity. The impacts of extreme weather events have been severe to the point that in 2013 Lao PDR was named the 7th most severely affected country in the world by climate change. Irregularity in rainfall has led to both floods and droughts, with a variation in severity from year to year. Projected increases in flooding and droughts are expected to impact livelihoods, health, physical infrastructure and the economy in general. In addition to extreme events, variation in the seasons has disrupted cropping, causing food insecurity. The objective of this project is to build climate resilience in small towns along the east-west economic corridor in the central region of Lao PDR. This will be achieved through the provision of climate resilient water infrastructure and the mainstreaming of climate change into urban planning. The project has three components.   ",Disaster Risk Reduction,Project Under Implementation,UN-Habitat,"Ministry of Public Works and Transport,Min of Natural Resources and Environment,Provincial Department of Public Works and Transport in Savannakhet Province,Department of Natural Resources and Environment in Savannakhet Province",4 years,7/8/2019,6/5/2020,,"USD 5,153,876","USD 5,500,000"
Lao People's Democratic Republic/Asia-Pacific,Enhancing the climate and disaster resilience of the most vulnerable rural and emerging urban human settlements in Lao PDR,"Lao People’s Democratic Republic (PDR) is one of the most climate vulnerable countries in the world. This is mainly due to its high dependence on climate-sensitive natural resources and its low adaptive capacity. The country has been increasingly affected by natural hazards. Floods, droughts, and storms, which often trigger secondary hazards such as landslides, fires, infestations and outbreaks of disease, cause each year loss of life and severe damage to livelihoods and infrastructure. Considering the expected impacts of climate change, with wet seasons getting wetter and dry seasons getting dryer, these hazards are likely to increase in frequency and intensity. The project’s main objective is to enhance the climate and disaster resilience of the most vulnerable rural and emerging urban human settlements in Southern Lao PDR by increasing sustainable access to basic infrastructure systems and services, emphasizing resilience to storms, floods, droughts, landslides and disease outbreaks. The specific project objectives are:   ",Disaster Risk Reduction,Project Under Implementation,UN-Habitat,Ministry of Natural Resources and Environment; Min,4 years,10/7/2016,2/24/2017,,"USD 4,500,000","USD 4,500,000"
Lesotho/Africa,Improving adaptive capacity of vulnerable and food-insecure populations in Lesotho,"Over recent decades, Lesotho has experienced an increased frequency, duration and magnitude of weather phenomena and extreme events, including prolonged dry spells, recurrent droughts, intense rainfall, localised floods, heavy as well as early and late snowfall, hailstorms and strong winds. The projected changes in climatic conditions by 2030, 2050 and 2080 show there will be increasing climatic variability, and frequency and intensity of extreme weather events: this includes droughts and heavy rainfall and captures the magnitude of non-average climatic events over short timescales rather than direction of change. The impact of frequent extreme weather events already fragile agricultural productivity has translated into declining incomes as well as severe and chronic food and nutrition insecurity for most households, and at the national level. The main goal of the project is to enhance the adaptive capacity and build the resilience of vulnerable and food insecure households and communities to the impacts of climate change on food security. The project will achieve this by pursuing the following three objectives:   ",Food Security,Project Under Implementation,UN World Food Programme,"Ministry of Energy and Meteorology,Ministry of Forestry, Range and Soil Conservation",4 years,7/8/2019,10/8/2020,,"USD 8,792,620","USD 9,999,894"
Liberia/Africa,Building Climate Resilience in Liberia’s Cocoa and Rice Sectors,"Climate change and climate variability is expected to affect rainfall patterns, temperatures and to decrease water availability. Adaptation measures must address key challenges posed by climate change. The overall objective of the project is to address key climate vulnerabilities in agriculture and water resources management in the rice and cocoa value chain, and hence contribute to immediate and longer-term development and resilience needs of poor vulnerable smallholder farmers in Liberia. The resilience of the cocoa and rice sector can only be achieved by identifying and implementing a comprehensive set of agricultural practices and agricultural diversification strategy through integrated farming systems designed to increase yields for cash crop (cacao) and staple crop (rice), minimize environmental degradation while maintaining the ecological functions and the rice and cocoa production value chains. There are four specific objectives of the project, each of which consisting of a set of interrelated activities aimed at reducing the effects of climate change on agricultural activities. These specific objectives are: i) Productivity, ii) Institutional capacity, iii) Alternative livelihoods for youth and women, and iv) Regulatory environment and institutional capacity.   ",Agriculture,Project Under Implementation,International Fund Agricultural Dev,Ministry of Agriculture,5 years,9/23/2020,4/14/2022,,"USD 1,792,592","USD 9,592,082"
Madagascar/Africa,Promoting climate resilience in the rice sector through pilot investments in Alaotra-Mangoro region,"Rice production in Madagascar occurs in a variety of areas, from the rainfed central highlands, to the irrigated and terraced lowlands, and semi flooded coastal zones. Roughly 10 million people in Madagascar, or almost 70% of its population, derive at least part of their economic income from rice. In the central highlands, where most of the country’s rice is grown, rice crops are already vulnerable to land degradation and droughts. Rice grown in the lowlands is subject flash floods and extreme temperatures. Other climate challenges include variability in the onset of rains, delays in rainy seasons, as well as disruptions in the amount of rainfall during the rice-growing season. This project implemented by the United Nations Environment Programme (UNEP) aims to help those in the rice sector increase climate resilience through increased rice production that will withstand projected climate conditions and increased environmental sustainability and ecological services in the rice sector by working with local producers and partners, with the support of decentralized ministries and regional technical partners and supporting the selection of a limited number of optimal integrated rice cultivation models, or systems. The project will also provide the tools for crop modeling and vulnerability analysis, particularly focusing on the rice sector, as well as the development of a climate-based hydrological model for the region, in order to gain a sound grasp of future water availability. As a means of providing stronger technical support to local producers, the project will also provide enhanced agro-climatic services, including updated crop and cultivation calendars that take new climate trends into account. The project will extend climate and weather information to local producers to provide early warning of flooding and drought. Farmers will receive the appropriate working material, starting with adapted seeds and varieties, appropriate fertilizers and adequate quantities and quality of water. They will learn new land and agrobiodiversity management practices involved in rice production, including sustainability land mangement and agroforestry practices designed to assist communities in coping with climate shocks such as droughts and floods, and to reduce post harvest losses. The project will help bring together government, private sector, NGOs, as well as academic and research institutions and local representatives to examine current policies and make recommendations on the modification of policies, rules and norms related to rice with a view to increasing adaptive capacity in the sector. The project also plans to support replication and upscaling of successful adaptation approaches, and to generate broader scientific knowledge on rice adaptation. ",Agriculture,Project Completed,UN Environment Programme,Ministry of Environment and Forests in partnership,5 years,12/14/2011,10/24/2012,6/30/2019,"USD 5,104,925","USD 5,104,925"
Malawi/Africa,Adapting to Climate Change Through Integrated Risk Management Strategies and Enhanced Market Opportunities for Resilient Food Security and Livelihoods,"The project seeks to enhance climate adaptation and food security of households through access to integrated climate risk management strategies and structured market opportunities, with a focus on the most vulnerable. The project, thus, purposely targets those who are most affected by climate change, poverty, and food insecurity and who rely on agricultural livelihoods that are limited by and vulnerable to climatic shocks, especially women and other marginalized groups. In addition to extending and enhancing coverage of ongoing programmes to vulnerable areas, the project will facilitate a government-led implementation process that catalyzes multi-sectoral collaborative action, breaking the siloed approach to programme delivery. The overall objective of this project is to deliver assistance in a way that develops the individual’s capacity to adapt to climate change and become self-reliant. As a result, 85,000 households (382,500 beneficiaries) in Balaka, Zomba, and Machinga districts in 22 Traditional Authorities (TAs) are targeted in this project. A total of 23,600 farmers from the 3 districts will benefit from access to market access opportunities including through farmer associations and cooperatives throughout the duration of the project and who have surplus production. The project approach is to establish sustainable and viable mechanisms for vulnerable and food insecure households to access different strategies and tools under an integrated climate risk management approach and access to market-based opportunities.   ",Food Security,Project Under Implementation,UN World Food Programme,"Ministry of Agriculture, Irrigation and Water Development (MoAIWD)",5 years,10/11/2019,6/11/2020,,"USD 7,183,963","USD 9,989,335"
Malaysia/Asia-Pacific,Nature-based Climate Adaptation Programme for the Urban Areas of Penang Island,"   The main goal of the programme is to enhance urban resilience and reduce human and ecosystem health vulnerability to climate change impacts and extreme weather events by implementing nature-based solutions (NbS) to reduce surface temperatures and storm water runoff, as well as to increase social resilience and build institutional capacity. George Town and Bayan Lepas, the two sub-districts or mukims in Penang have been selected based on a combination of their likely climate change impacts, land use and community vulnerabilities.  The goal of the adaptation programme in these two districts is to use NbS to: 1) reduce climate change impacts (increased temperature and stormwater) including threats to human life, infrastructure and property associated with extreme weather events; and 2) strengthen social resilience and institutional capacity. The projects aims to benefit 343,739 directly and 311,257 indirectly. The project will also installed an early warning system. In addition, the programme includes a community-focused approach as well as a strong knowledge transfer component to ensure the methodology can be scaled and adopted in the near future by other cities in Malaysia and the region.     ",Urban development,Project Under Implementation,UN-Habitat,"Majlis Bandaraya Pulau Pinang (MBPP),Jabatan Pengairan Dan Saliran (JPS),Think City,Ministry of Environment and Water (KASA)",5 years,2/23/2022,9/6/2022,,"USD 1,500,000","USD 10,000,000"
Maldives/Asia-Pacific,"Increasing climate resilience through an Integrated Water Resource Management Programme in HA. Ihavandhoo, ADh. Mahibadhoo and GDh. Gadhdhoo Island","Changing rainfall patterns, longer dry periods, and more potent and frequent natural disasters are all threatening the freshwater resources of the Maldives, a cluster of tiny islands off the coast of India. In order to ensure reliable and safe freshwater supply for the communities of Mahibadhoo, Ihavandhoo and Gadhdhoo, the project intends to plan and install groundwater protection and recharge measures using surplus rainwater and improved management of wastewater; redesign existing rainwater harvesting schemes; interconnect isolated units to ensure equitable water supply in dry periods; improve the structural integrity of rainwater collection and storage systems against extreme weather events; integrate filter elements to improve safety of freshwater supply; improve septic tank maintenance and redesign wastewater management; and apply desalination technology to ensure supply capacity of at least 20 liters per person per day during dry spells and climatic extremes. The project will also introduce a range of communication, awareness and training activities intended to enable public, private and communal stakeholders (including water suppliers, planners and users) to effectively engage with each other and participate in the inclusive development, allocation and planning of water resource use on their home islands. Finally, a campaign will be launched to present the findings from the project to different public entities, political authorities, utility companies and development partners, as well as other atolls and islands with similar degrees of vulnerability. This campaign will integrate all administrative regions and aim at the replication of the project approach in at least four other inhabited islands. Exchange programmes to the target sites in Mahibadhoo, Ihavandhoo and Gadhdhoo will be facilitated to promote learning and transfer of experience on climate-resilient freshwater management. At the level of the central government, a consultative mechanism will be created that allows the integration of project experiences into the design and rollout of new water management projects and schemes.     ",Water management,Project Completed,UN Development Programme,Ministry of Housing and Environment,4 years,6/22/2011,6/20/2012,12/31/2015,"USD 8,989,225","USD 8,989,225"
"Moldova, Republic of/Eastern Europe",Talent Retention for Rural Transformation – Adapt (TART-Adapt),"The aim of the project is to build climate resilience into the agricultural value chain, while at the same time improve productivity, product quality, food security and reduce poverty. It will do this through the promotion of climate resilient agricultural techniques, water-efficient climate-smart irrigation technologies, mainstreaming Conservation Agriculture (CA) into the higher educational system and promoting research into CA. The USD 6 million Talent Retention for Rural Transformation Adaptation Component TRTP-Adapt will be fully integrated into the USD 50.51 million IFAD Talent Retention for Rural Transformation (TRTP) project, for which a combined IFAD/Adaptation Fund full-project design mission took place in April 2019. The project objective is to “strengthen the agro-ecological and social resilience to climate change in the climate vulnerable areas of Moldova, by enhancing water availability, water use efficiency, and promoting adaptive agriculture production systems and technologies for improved livelihoods and food security of rural households.”   ",Food Security,Project Under Implementation,International Fund Agricultural Dev,"Ministry of Agriculture Rural Development andEnvironment (MARDE)",4 years,10/11/2019,3/22/2021,,"USD 2,324,377","USD 6,008,095"
